,Review,Sentiment,Number
232,"I was so looking forward to trying this place out based on all the Yelp reviews and I'm sad to say, my experience here was not a good one.  The cafe is so quaint and located inside a non-descript office building with a cute Koi pond to the side.  

There were 3 people working during a busy-ish lunch time and it took them 15+ min to just take our order.  My daughter's cheese pizza came out first with extra sprinkling of Parmesan cheese which she hates.  It would have been nice to know that even a cheese pizza would come showered in Parmesan.  My husband's lasagna took 30 min to arrive with the same amount of Parmesan on top.  You can see the amount of Parmesan on the photos below.  This was perhaps the best dish of the day still.  The lasagna had a nice meaty sauce and was definitely a pre-made lasagna that was reheated which made us wonder why it would take 30 min to just reheat and serve a premade lasagna.  My fettucine primavera also came doused in too much Parmesan in a tomato sauce that was way too watery and sweet.  Let's just say my pasta was beyond disappointing.  

Based on this experience, I am not sure if I would return here any time soon.",0,232
568,"Let me first say that I was walking into this restaurant expecting to give this place a 4-star (if not 5-star review). I was skeptical of the reviews that rated this place under 4-stars because of raving reviews from co-workers of mine. However, that co-worker went to this place the Friday before I came and also deemed the quality has declined. So maybe it is worthwhile reading on my review as to why that's the case.

My friend and I ordered three things so i'll describe each item below- starting with the best.

1. Green beans- if all the other food was as good as this one, I would've given this place a 4-star review. Fresh, flavorful, and on-point. The wringly green beans stir-fried into the peppers and mushrooms were fantastic. However, this was a very small plate for it to cost $11. Quality: 4.5/5. Price for the food amount: 3/5.

2. Fried rice- this was their featured fried rice and a recommendation from the co-worker. I'm not a fried rice person to begin with but chose this because of the rec. This was just fried rice I could get at any chinese restaurant in chinatown for probably 75% of this cost. It was a lot but not memorable. Quality: 3.5/5. Price for the food amount: 4/5 

3. Boiled pork and chive dumplings- having chosen the healthier version of the dumpling options (versus fried), these turned out to be the most disappointing meal here. The dough/skin of the dumpling was very thick (and this is my greatest fear). The ratio of meat to skin was probably 1:2.5. Quality: 2/5. Price for the food amount: 3/5. You can get the same dumplings but WAYYYYYY better at dumpling house in Chinatown. Thank me later and go there.

So in conclusion, if you're looking for the hype of this place that came from BlogTO or other reviewers, this place will not meet your standards. I would go elsewhere for chinese food- specifically Chinatown; unless you want the aesthetics and hip vibe, then this place got that nailed down.",1,568
83,"Came here for the first time by luck, on a Tuesday- had to take advantage of their Taco Tuesday special ($28 for 8 hardshell tacos). 

The service here was friendly but a little slower than normal standards. It is also pretty stuffy inside on a hot day, especially on the top floor, but the restaurant itself is a cute, grungy setup. 

I shared the special with my friend, and it came with the perfect amount of toppings to fill the tacos... it's always so satisfying when you're giving the perfect food ratios. The tacos are presented on a tray along with the (""sides"" is what they call it but I think a better word for it is just the taco stuffings). It came with all your taco essentials, including guac. The ground beef also had a bit of a spicy kick to it, and the taco shells had a different crunch to them. Overall, nothing was mind blowing about the tacos. I think it's fun for when you're coming in a pair with someone else, but you'd need to order more with it to fully fill up an empty stomach (good thing my friend and I had a snack before coming). The tacos were presented nicely but if I were to get this for say, takeout, not sure the deal is worth hyping about. 

I'd be open to coming back to try more of their extravagant tacos though :) judging from their menu the prices seemed reasonable for a downtown restaurant.",1,83
560,"This place is great! Very authentic and delicious dim sum. We got the soup dumplings, pan friend dumplings, fish ball soup and egg drop soup. 

Everything was amazing, very flavourful and the service was quick. 

I highly recommend this place, especially the soup dumplings.",2,560
375,"This place has been on my list of must-try restaurants in the Yonge-Eg area for quite some time (mostly because of all the high Yelp reviews). However, I was pretty disappointed with my experience. Cleanliness is a really big deal to me, and the restaurant did not feel very clean. There were a LOT of flies buzzing around my table, to the point that I had to swat my hand in between every single bite and was afraid one would fly into my mouth (ew!). The bread was cold, and the pasta was mediocre and at a higher price point. The waiter could see me constantly waving my hand to get the flies out of my face and made no comment. I was not impressed.",0,375
322,"The best thing about this place is the price of the food. Me and my wife went for dinner about an hour and a half before thier closing time on a Saturday night the place was less than half full. We were seated at a table that felt like it was a common walk way by the front door so requested if we could be moved and the waitress refused to move us saying she couldn't offer up a four person table to two people, even though there were plenty and the place wasn't even half full. 

On to the food: 
Bruschetta: bread used was good nice and toasted not overly hard. The tomatoes were tasteless and bland which ruins this dish no matter how good the bread is. Did not taste like bruschetta at all.

My wife ordered the rigatoni Bolognese with a rose sauce. She did not enjoy it at all saying it was watered down sauce with chunks of bland tomatoes. 

I had the penne ala vodka with meatballs as a sub for the bacon my dish was not bad  food came out piping hot, sauce was decent meatballs were small and tasteless.

If you're on a budget, don't care about good service or food quality then this is the spot for you!",0,322
407,"Not even going to talk about the food here because the service here was abysmal. We asked for 3 cups of hot water and were charged $1.50/cup. When we asked the waiter why they charge for hot water they mentioned that all restaurants in yorkville charge for water. After suggesting some of the restaurants  we regularly visit that offer complimentary hot water, the waitress said, ""I guess those restaurants aren't high end anyway...""

I'm sorry, kasa moto and one have $$$ and $$$$ ratings while this barn has $$. Snobs.",0,407
113,"Been visiting this place since it was on Bloor, so I'm obviously a fan. 

The food is excellent, and continues to be so, with the exception of the guacamole. It's very smooth and soft, not chunky at all. I find it to be overly citrusy, with lack of garlic taste. Reminds me of store bought super bright green guacamole that never seems to go bad . Skip the guac, and just smash an avocado at home. Everything else I've tried here has been great (tacos, tostadas).

The service has never been amazing, but has declined significantly. On my last visit, we weren't given water until 20 minutes after we were seated. Cocktails took a whopping 30 minutes. It felt awkward and kinda embarassing to try to emphatically wave down the uninterested server. After food was brought out, we weren't checked on until, once again, I found myself waving down server for our bill.

Long story short, when I received the bill, I expressed my concern with the service. The explanation honestly pissed me off. They said the service is messed up because they have too many Uber eats orders. I told him you can't have Uber eats impacting your dine in patrons, but apparently you can. We live in a new world where restaurants can probably survive off of online orders. Either way, waiting 20 minutes for water isn't an Uber issue.",1,113
8,"For what this spot is, it's fine. It's a King Street taco spot serving the King West crowd. Meaning, it's a bit overpriced (my dining companion asked me ""Are you SURE you only want 3 tacos...?"" while I was ordering) and a bit gimmicky for my liking. To be fair, I was coming off of having some fabulous tacos a couple of days ago at a little neighbourhood takeout where they mostly serve Latinx locals, AND I'm generally not a fan of anything fusion.

You grab a table and then line up to order and pay cafeteria-style. Then you go to the salsa bar for a very good variety of salsas and pico de gallo. Servers bring the food when it's ready. 

The food itself was fine, though don't order the grilled avocado if you don't eat dairy. It's literally just a grilled avocado. Even a healthy amount of pico de gallo and salsa couldn't save it. I found the tortillas really dry.

Atmosphere is cool and the people watching is pretty great. It was very busy with the after-work crowd. I don't think I'd return if I was craving tacos, but I would definitely hang out on their expanded sidewalk patio for a drink and some chips and guacamole.",1,8
164,"I was very excited about trying Quetzal. Upon arrival the ambiance was great, with candlelit tables and a curved ceiling, like being inside of a ship. The bar seating was inviting and the drinks menu was inventive and cocktails were superior with great notes for sipping.

For the food we did the tasting menu, since there were many unique dishes that we wanted to try. The sea bream and scallop ceviche was underwhelming, with the scallops being were quite small and not fresh tasting. The other sushi grade fish - the kanpchi tiradito - was good in comparison. The thin crispy Masa round was similar to a taco pizza, and a fun app to share. 

Next up, the kale salad was tasty and served with the full stems. The bone marrow came with two large bones but didn't seem to have enough flavour cooked into it. Lastly, the skirt steak and 18oz rib eye were served. We were never asked how we liked it cooked when ordering, but we received medium rare which worked out to our tastes. 

Overall, great value for a lot of food and high quality ingredient based dishes, but nothing stood out at the end of the night. I was hoping for a little more bite. 

It's a beautiful restaurant otherwise, and maybe I'm just not the right fit for palette.",1,164
55,"Cash only.. it's 2019 
Plates with holes in it.. it's 2019
Food is decent, but get the basics right",0,55
278,"Not feeling it for the new fancy location.

Love the old location with old friendly staff than the new ones.  The price is more expensive, and the food is not as good.  The new staff didn't know about serving / dinner etiquette.  Serving both left and right side.  With the lower food quality and higher price tag / seemed more fancy environment will look for more.  The owner is still there and he has to work hard and busy himself by telling the new younger staff what needs to be done.

Really disappointing that the food was not as good as before (far from it).",1,278
637,"Not bad but quality control should be supervised.

We order probably once a month and food quality is a hit or miss.

Like today, broccoli was old. 

Some time the beef noodles, the beef is tough.",1,637
646,I was disappointed with this place for the price they charge their portion is so small I got the duck with rice barely any duck a bunch of cheapscapes the duck was okay honestly the duck at congee Queen was better price and way better taste last time I'm coming here,0,646
205,"Great place for dinner! Casual atmosphere with really great food! 

We sat in the patio area and had a few of their dishes. We had the cacio e pepe, tomahawk steak, margherita pizza, broccolini, and their rucola salad. Everything was really good! The steak was cooked perfectly, nice and tender. The rucola salad was fresh and love the dressing on it. Finished off with tiramisu and panna cotta... both very good. 

The service was really good and they have a nice wine menu. Would love to go back to try some other things on the menu.",2,205
348,"OK
in life we are allowed to change our minds.
This place is so CONGESTED and FRUSTRATING.
You had to know it would be a success!???  Rent the whole building out!?  A claustrophobic maze getting in and out of here..  want a coffee/espresso upstairs; FORGET about it; I've been 8 times; only twice was the line under a dozen people, it's good but the line is too long.  Some of the worst cashiers at pizza line; chatting, hugging, orders wrong... I don't think I like this place anymore.",0,348
249,"Enoteca is a nice spot with great drinks and great vibe to grab a bite and hang out with friends. I've driven by Enoteca a number of times and finally had the time to go check this place out. Located just west of Dundas and Dovercourt, you can't miss the massive doors. 

Service was great from start to finish, attentive and overall a good experience. However, the food was decent at best. The Cacio e Pepe was on the saltier side, so be ready for that. It was very rich in flavour, a pinch less of salt and this would be been wonderful. The charcuterie board was decent, although I must say that the cheese was really good. 

Best dish of the night goes to the arancini balls. Really nice and crispy on the outside, stringy and warm cheese on the inside. Drench it in the tomato sauce, you won't regret it.",1,249
491,"Just prepared that you may wait more than 50 mins for food serving. i came here twice. each time me and my friends will waiting more than 50 mins for food after we ordered. no matter how many customers in here. they are always very slow. even fried rice, they will take that long.

And the fried rice. Are not totally sauced... even it took 50 mins to make.",0,491
7,"My favourite Mexican fast food restaurant! By fast food, I mean you order and pay upfront (with no tip necessary) and they will bring the food when ready.

Seating is limited so sharing the table with others is needed. However given it is fast food restaurant, a lot of people choose to grab and go instead. The deco is very friendly and has the casual Mexican vibe. 

Last time I was here I ordered the $4.5 classic taco. It came with chips that you can dip in a varieties of free salsa (some spicy, some refreshing and none to complain about) and hot sauce. I think it is good value and quite tasty. However the lady who we shared the table with ordered the Fajita, a ""sizzling"" skillet that is worth being jealous over. 

So when we went there tonight, I did not hesitate to order the chicken Fajita and wow it did not disappoint. The skillet was sizzling hot when presented. You can hear the sizzling sound and smelled amazing. The chicken is flavourful with some peppers and onion. The chicken by itself could have been too oily or too salty but the skillet came with taco bread, guacamole (amazingly fresh and probably made in store) and fresh lettuce. I was really impressed by this dish and definitely became one of my favourite.

I think this place could be busy sometime and the wait time would be long. But with food this good (and free salsa), I think it is worth the wait. I will definitely will go back :)",2,7
633,"When we arrived the restaurant was empty and silent. We were seated at a table that was sticky and bits of food left on the table. We ordered the Chinese burgers, pork soup dumplings and cold noodles. The buns were stale, the noodles were excessively greasy and had a weird texture, and the pork dumpling meat was fatty. After leaving the restaurant, both my girlfriend and I felt very uneasy, she threw up immediately. I originally decided to come to this restaurant based on the reviews but after my experience I would not recommend this to anyone.",0,633
552,"Stepped into the restaurant and was surrounded by endless tanks of freakishly large crabs. We got the Hong Kong style lobster (4.83 lbs) lunch set that included soup, fried rice, snow pea with goji berries, and dessert. It was nice that we got a bunch of different dishes to try. We also had a lot of food at the end to take home too

Honestly though I started to get sick of the lobster after a few bites since it is fried and quite oily. I ended up eating the veggies/fried rice instead! I also find I prefer lobster fried with ginger and scallion more than HK style. Service was incredibly slow when we went.

Overall I think it was good to try, but I don't know if I would return again. I think it'd be good for special occasions or to treat people that like seafood due to the visual wow factor of the dish though!",1,552
496,"If you find yourself in downtown Toronto looking for asian food, head to Lee Chen Asian Bistro.  The place is downstairs from the sidewalk and is huge inside...I mean huge.  I suspect they do a great lunch business, but we came after a hockey game on our way back to the hotel. 

The service was prompt and always available if you need anything.  The bar/beer scene doesn't offer a lot, but there are a few options to pick from if your in need. 

The spring rolls and chicken dumplings were really, really good.  I had sweet and sour chicken which is some of the best I have ever had anywhere.  

I definitely would go back and probably spend more time ordering a lot of dim sum as there is a lot to pick from if that is your jam.  They have a huge menu and one trip is not going to satisfy your palate.",2,496
649,"Ordered a whole roast duck. One of the worker says to me that he had to cut the duck inside the kitchen. While I came home and opened the take out boxes, one of the box was full but the other box was half full and there were a lot of ducks's necks to replace the empty space. I have assumed they stole some of the goods part of the duck for their combo rice meal and they make $$$ out of that. No wonder that they had to cut the duck inside the kitchen so that you can not see what they are stealing. I had call my friends and they say the same thing.  The duck was good and you can taste the freshness and was not frozen but you lost me as a customer for life. The reasons why I brought the roast duck from them at that time because the other two Chinese roast meat place in the same area was closed due to Covid 19 and they was the only place open for Chinese roast meat. Words of month travel very fast and your business will suffer because of this unethical practice.
Now I know how they are able to sell the rice combo meals so cheap.
Buyers Beware.",0,649
593,"Unfortunately, this area does not have any other nearby places for dim sum. So there are no competitive prices for morning dim sum, and the food itself is not the best, when compared to restaurants in Markham, etc. However, considering this is the only place available, I think it's a good option when you're craving dim sum and do not want to commute or drive for an hour.

We tried the seafood dumplings (very doughy), fish congee (really nice), fried shrimp dumplings (tasty, essentially fried har gow), and spinach dumplings (very doughy). I do not eat meat and so didn't try the siu mai, tripe and pepper short rib, but heard that the latter two were quite tough and chewy. 

The staff was very friendly and accommodating. If we're in the area again and hungry for dim sum, I would come back, but it would not be my first choice. Most dishes were $4-5, and our bill came to $40 total.",2,593
350,"Eataly is located in the Manulife Centre at the south east corner of Bay and Bloor.  

What at this point most likely takes the largest footprint of this facility, it may have been Ashley before the major renovation.  Eataly Toronto is like Eataly Flatiron approximately fifty thousand square feet.  That's quite a footprint considering this is on multiple levels in an uptown location of Bloor-Yorkville.  For Eataly though you need a large footprint to be able to house multiple food counters, restaurants, full blown grocery options, walls of products and a place for cooking classes.  

For those that don't know Eataly is basically a huge Italian superstore.  This store may not have everything you're looking for that is Italian in that they don't have Ferarri or Lamborghini for sale but they do have prosciutto from Modena and many other places for that matter.  Looking for Grana Padano or Reggio Parmigiana?  Will a wheel do?  The guy working the cheese counter said somebody came in and bought half a wheel cut lengthwise for a wedding just the other day.  

While the place doesn't have Santa Maria Novella like the NYC Flatiron store they do have on premise made beer at the birroteca on the concourse level.  Using Italian hops and other ingredients Eataly Toronto has the only on premise brewery of all the Eataly establishments so that's sort of special.

I had out of town guests and while my wife has been to Eataly Toronto already I had not been so my first visit was going to be with the out of towners.  We spent quite a bit of time at the olive oil wall as they were trying samples and deciding which to get.  My wife picked one she knew she wanted without trying any samples.  My friends tried a variety and eventually bought one and also a bottle of balsamic to go with it.  My friends ended up getting fresh ravioli nearby as well.

It was mid afternoon on a Friday and the pasta and Neapolitan pizza restaurants had some seating but we were already going to eat a few hours later at a place we made reservations for earlier in the day.  I noticed the Roman style pizza bar was quite popular and a quicker option.  I had the Roman pizza in the Eataly in Century City and I prefer it to the Neapolitan actually.  I like the crunch and the variety of slices I can get in one sitting and while Neapolitan doesn't take very long to make the Roman slices are ready.

Overall Eataly is overwhelming.  While I've been to 3 others (NYC - Flatiron, Chicago, LA - Century City) I found Toronto's to be as good as at least Flatiron but less streamlined.  Toronto's version is more like an Ikea gauntlet that makes you go through the entire store to say get to the gelato bar.  At Flatiron and Chicago the Lavazza and gelato can be accessed at the first floor level without having to go all the way in.  The Toronto setup has the café type areas in the area on the upper level facing Bloor where there's the pasta/pizza area, bar, coffee/dessert stand, Roman pizza all in a corner.

The content of Eataly Toronto is basically all there in an unfamiliar footprint albeit still somewhat organized.  I like this concept and I'll be back to try the other offerings like the pizza and pasta.",2,350
136,"I'm all for small, authentic , family run business , and this is exactly what you get at Mexico Lindo. 
My friend and I visited on a Wednesday afternoon & we were one of two tables. I ordered the guacamole, & fish tacos (on special on Wednesday's) & my friend ordered the beef chimichanga. 
The guacamole was amazing- lasted us 3-4 refills of chips. It was fresh, smooth & the perfect consistency. I just wish it came with better salsa (tasted like the basic Tostitos one out of the jar). 
The fish tacos- were okay at most. Not much flavour in the tacos (I've had better at JOEYS & other chain restos). Their rice however was fresh & delicious and their salad tasted like a Greek salad but was still very good. Also- there was nothing spicy or flavourful about the dish which is why I was  disappointed. 
The chimichangas- my friend ordered beef but got chicken. Not the biggest deal to us but still odd how the waitress forgot when we were one of two tables. She liked her dish and it was so filling! 

Overall, my friend and I both left with take out boxes because of how filling everything was. Majority - if not all- plates come with beans, rice & salad. Service and food were mediocre at best (the birchmount express location is much better) but I will come back here to support the family's business.",1,136
12,"$16 dollars for the worst burrito bowl/platter ever, are you friggin kidding me. Maybe because it was take out but that's hardly an excuse. The portion size is just pathetic, and the chicken was pretty dry even though it was fairly flavorful. It's not value for the money at all, highly disappointing. Go look at the photo and tell me if that's worth it. At least try a little.",0,12
103,"I thought the food was good. Price was good too. Removed a star for non-disclosure of spicyness levels. But in fairness we didn't ask lol. We couldn't finish one of the tacos because it was so spicy it gave my bf heartburn. 

I would come back, but for sure consult with your server to ask about how much kick is in the food!",2,103
97,"Had an appointment across the street so I saw this Mexican place and decided to try it out. It's very nicely decorated -- vibrant colours, a mural, and lots of Mexican decor. 

I decided to go with a veggie burrito as I am vegetarian, which came up to $9 flat. I was told at the cash that it's 10% off if you pay with cash (not sure if that's an everyday thing but at least I know for next time). Anyways, I was served right away and I was in and out within five minutes I'd say. The burrito itself was not the greatest--pretty bland compared to other veggie burritos I've eaten (and I eat a lot of them lol). I've also never had a burrito with broccoli, cauliflower and carrots in it so this was a first for me . Honestly tasted like I had some type of Asian stirfry in my burrito which really threw me off. Guacamole is supposed to be included but I couldn't even taste it . To be honest I didn't finish a quarter the burrito because I just didn't enjoy it at all. A piece of the cauliflower actually fell on the ground by accident there was a bunch of pigeons around me that really enjoyed it lol  

Would I come back? Probably not. If I was in the area I'd be open to trying something else on the menu because I see a lot of great reviews but I don't see myself ever coming out of my way to come here again.",0,97
210,"AVOID 
TERRIBLE EXPERIENCE
BETTER OPTIONS ELSEWHERE
-  was served 3 risottos when I asked for one, and was blamed by the staff that I ordered that many
-  risotto was raw as well

I was quite excited to try this place with two friends. The miscommunication ruined the whole experience for me. 

Knowing that the lunch stops at 3pm and that the risotto takes 40 mins to cook. I called in ahead of time to speak to someone around 1:30pm to have my amalfi risotto ready as I was making my way there. I spoke to a server, I informed her that I wanted 1 order of the Seafood risotto for a table of 3 people. I think it was this point where the miscommunication happened. She agreed and said it will be ready for us.

We arrived at 2pm, we spoke to the initial server and I asked him about the risotto, that I called in about. And he's like is it for here or to go? I told him that we were dining in. 

We were seated and waited for 40 mins. Before the risotto came out. To our surprise they brought us THREE RISOTTO dishes. Mind you, on the menu the risotto dish serves 2 people. At no point in time between 2pm to 2:40pm there was any clarification on the order. So I asked the server and informed him that I only wanted 1. So he fetched the server that I spoke to on the phone. And she insisted that I ordered 3 Risottos. I tried to explain to her that party was not ready to eat 6 peoples portion of risotto.

My experience is already ruined at this point. I don't know why she would think that I would want 6 people amounts of risotto. I could've tried other things in the restaurant. 

The risotto itself looked amazing. So if the food was okay I didn't mind.

Unfortunately the risotto was under-cooked. It had a grainy, sandy texture that stuck to the teeth. I informed my guests, and another one agreed with me. I let the server know, he brought Chef Massimo Renzi tableside and he just told me it was cooked al dente, and that he used carnaroli rice. 

So know we're stuck eating extra risotto that was under-cooked. My other friend thought the rice was fine, until he tried the one underneath the top layer. I'm assuming that the chef probably tasted that top layer and thought the other rice cooked as well. 

The seafood in the risotto was perfectly cooked but the dish was spoiled under-cooked rice. 

I think ultimately the experience was ruined when I got 3 Risottos instead of 1. Which caused the quality of control to go down on the rice. 

You will see in the photos that you can see the centre of the rice. Which is an indicator that the rice was raw.",0,210
