,Review,Sentiment,Number
153,"Excelente!!!!! I had a great experience at Xola, great service and great food. 100% authentic Mexican food and test. We ordered appetizer Trio, the Duck confit tacos and the Arrechera everything was awesome!!! I definitely will come back!",2,153
508,"This was my second time dining at this establishment, but mark my words it is the last! While eating an order of noodles I was splitting with my gf I came across a COCKROACH!!!!!  

When I confronted the owner he looked down at my plate and saw the roach and quickly took my plate and dashed to the kitchen before I had a chance to take a photo.

The only funny and bewildering part to this is that a group of people standing behind me waiting to be seated saw what had happened and witnessed the roach in my noodles and still decided to stay and dine !!!!

FAIR WARNING TO ALL, DO NOT EAT HERE!!! COCKROACHES ARE ALSO DINING AMONG YOU!!!",0,508
596,"Great food for the price. Filling, tasty and fresh, definitely recommend for a quick meal!",2,596
201,"After hearing rave reviews about this place from my brother, who loves food more than I do, we finally had a chance to feast on the delicious tacos from here. For 6 people we ordered a large guacamole, refried beans and 3 orders of the special build your own tacos (king's special, chorizo and beef with onion). 

When you arrive, they bring you unlimited nachos and their three sauces, mild, medium and spicy. The mild was my favourite! I can't really describe it but it has a nice smokey flavour and orange in colour. The medium is a green hot sauce which was equally delicious with a nice kick. The spicy was my least favourite. It was kind of spicy, but flavourless. 

The guacamole was delicious. It was perfectly mashed and not too chunky or too creamy. 

The refried beans were yummy, but really heavy so I didn't have too much of it. 

My favourite of the three meats we tried was the kings special. I loved the mix of all the flavours of beef, chorizo and bacon mixed with onions. Yummmm! The beef with onion and the chorizo were good, but for some reason, saltier than the kings special. Also, all these plates are extremely greasy, so keep that in mind because you won't be able to stop yourself from stuffing your face until you can't breath. It's just that delicious. The only downfall was that I felt really crappy for the next few days. The food here is really heavy and oily and it will be coming out of your pores. 

The service here is great! They're quick and friendly. This has been one of my favourite taco experiences in Toronto thus far!",2,201
38,"Decided to check this out from Yelp recommendations. When I arrived inside the front door, was greeted right away by the super friendly staff. We proceeded in the back for dining in. The menu had a wide assortment of tacos to choose from, a couple drink options and guacamole. I ordered the quesadillas, the shrimp taco, carnitas and fish taco. Overall the taste of each of the tacos were great, loaded with flavor! The quesadillas was more different then your normal quesadillas, it was quite doughy but was oozing with cheese. I would definitely come back and would recommend to anyone who's looking for some quick tacos and a more quiet atmosphere.",2,38
567,"Let me first say that I was walking into this restaurant expecting to give this place a 4-star (if not 5-star review). I was skeptical of the reviews that rated this place under 4-stars because of raving reviews from co-workers of mine. However, that co-worker went to this place the Friday before I came and also deemed the quality has declined. So maybe it is worthwhile reading on my review as to why that's the case.

My friend and I ordered three things so i'll describe each item below- starting with the best.

1. Green beans- if all the other food was as good as this one, I would've given this place a 4-star review. Fresh, flavorful, and on-point. The wringly green beans stir-fried into the peppers and mushrooms were fantastic. However, this was a very small plate for it to cost $11. Quality: 4.5/5. Price for the food amount: 3/5.

2. Fried rice- this was their featured fried rice and a recommendation from the co-worker. I'm not a fried rice person to begin with but chose this because of the rec. This was just fried rice I could get at any chinese restaurant in chinatown for probably 75% of this cost. It was a lot but not memorable. Quality: 3.5/5. Price for the food amount: 4/5 

3. Boiled pork and chive dumplings- having chosen the healthier version of the dumpling options (versus fried), these turned out to be the most disappointing meal here. The dough/skin of the dumpling was very thick (and this is my greatest fear). The ratio of meat to skin was probably 1:2.5. Quality: 2/5. Price for the food amount: 3/5. You can get the same dumplings but WAYYYYYY better at dumpling house in Chinatown. Thank me later and go there.

So in conclusion, if you're looking for the hype of this place that came from BlogTO or other reviewers, this place will not meet your standards. I would go elsewhere for chinese food- specifically Chinatown; unless you want the aesthetics and hip vibe, then this place got that nailed down.",1,567
46,"Ordered 5 tacos with a mix of Tinga, Chorizo and Al Pastor. The tacos were shockingly small and costed $10 plus tax. Tinga and Chorizo were meh, kinda lacked flavors. Al Pastor was the most unique one of the 3 with the addition of pineapple. Hot sauces were good, one green and one red. Service was really nice.",1,46
300,"Had a good dinner here last week! The interior is very traditional Italian and very cozy. Restaurant seems to be in an old house. There is a back patio as well a terrace on the third floor but we didn't get to check those out. 

The meal started with warm bread, we also got a caprese salad which i thought was just okay (tomatoes and basil weren't super fresh). My main was pappardelle with tomato sauce, shrimp and mushrooms. The best thing about the dish was how hot it was when it came out! It stayed hot for the entire time I was eating it which was awesome. I also loved the sauce which tasted very fresh and tomato-ey. The shrimp itself was kind of a letdown - it was a little overcooked and they also had the tails on which made it a little awkward to eat. Additionally, there seemed to be a couple pieces of shrimp shell in the pasta - the first time I ate a piece I thought it was maybe a tail I hadn't put off to the side but when it happened again I realized it was a piece of shell. My partner had the carbonara pasta which he said was just okay. For dessert we had tiramisu, it was delicious and a good portion for sharing. The meal was a little pricey, but everything is in Yorkville.

The service could have been better. We spent some time waiting to give our order and also to get water, and when the server did come by he seemed to be in a hurry. My partner felt bad since we'd come in without a reservation, and he wondered if they needed the table - but if the restaurant didn't have room for us, it's their responsibility communicate that - either tell us they don't have a table available or that we need to leave by a certain time. (Neither of those things were mentioned when we were seated.) Our entire meal was just over an hour long so we certainly weren't taking an unusually long time to eat.

Overall the meal was fine but next time I'll probably try one of the other italian restaurants in the neighbourhood!",1,300
281,"I would describe this place as a trendy Italian restaurant. My review will only comment on the pizza as I haven't tried the pastas (it seems like my friends enjoyed them). 
I wasn't too impressed by the pizza, the crust was thin and quite crispy, toppings tasted fresh and good quality but not very generous. It's a good place to go for simple business meetings as the atmosphere is nice and trendy or maybe for a date but if you're looking for a more local small  business type of vibe, I would pass. 
Service was a good and fairly fast. I would mind coming back but not my first choice.",1,281
249,"If you are a pasta-lover then you've definitely heard of Sugo! I heard and seen of Sugo plenty on social media and knew this spot definitely belongs on my bucketlist. I stopped by around 1 PM on a Saturday and waited about 20 minutes for a table for 2. It is a small restaurant with very cozy and homey vibes, and surprisingly there was plenty of street parking available along Bloor St around this time. 

I decided to go with the spaghetti and meatballs, and my friend went with the rigatoni with calamari for our appetizer. The calamari was perfectly crispy, and the two sauces provided complimented it very well. The two pasta dishes were pretty good but standard - it wasn't THE BEST we've ever had. The meatball with my spaghetti stood out the most, it was very juicy, tender and flavourful. The food were definitely worth the 20 minutes wait but absolutely not worth 2 hours wait time like some of the other reviews mentioned here. Their generous portion and aesthetics are probably what attracts most of the customers here at first... it is what attracted me, anyway!

The service at Sugo is definitely one of the top. We were always notified with wait times and offered drinks while we waited, and our server explained the menu and how everything worked at their establishment very well. Our food arrived just a bit slow but we were warned of that right after as we ordered so it is no biggie. Although, we felt a bit rushed in the end. My friend and I stopped eating for not even 2 minutes and we were given take out boxes and the bill already LMAO would've been nice if we had some more time to settle in with the food... 

I'd definitely come back for their pasta, but not during their rush hour where wait time is a couple hours. I'd recommend Sugo for a cute lunch date/spot, the best atmosphere for it!!",2,249
234,"I came on a Monday around 5pm with two other people. We ordered 3 dishes (ravioli, lobster pasta and shrimp with veggies) and spent over 100$. Here is a short pros and cons list: 

Pros: 
- The food is good 
- The chef gave us some bread with butter, vinegar and olive oil on the side. He also gave us some baked zucchini as an appetizer. 
- He seems knowledgeable about Italian cuisine. He said that he cooked in Italy for 7 years. 
- a lot of street parking nearby

Cons: 
- The restaurant smells like cat. The odour was very strong. 
- The bathroom is in the basement with a very very low ceiling. It reminded me of the bathrooms one would expect to see at a campsite, so it's very usable, but lots of bugs. 
- The decor is very outdated. 
- Too expensive. The ravioli dish was composed of 4 big ravioli. The lobster pasta was also a fair portion. The shrimp with veggies was my main issue. It cost over 25$ if I recall correctly. It was 3 shrimp with a handful or two of steamed veggies. For the price we paid, we expected more. After we finished our meal, we were still not fully satisfied. We ended up going somewhere else and eating more. 

In my opinion, the cons greatly outweigh the pros. There are many other cleaner Italian restaurants that serve much more equally delicious food for the same price.",0,234
660,"Artisan Plus received a great amount of hype upon opening on IG and I've been waiting to try it since.

AMBIANCE: 5/5
The store itself is small but functional. The seating is very well designed with ample room in between each table and each chair has it's own cubby to leave purses/shopping bags in. The decoration itself gives the restaurant a really nice modern, chic vibe and great for IG pics!

FOOD: 3/5
I ordered their famous YoPo Biang Biang Mian with Beef: this comes with scrambled eggs, tomatoes, carrots, zucchini, organic cloud ear mushroom, five spice tofu, edamame, and potato. The dish came with thick ribbon noodles which were THICK, chewy, and filling.
The plate was okay but a little underwhelming from how much hype was given. The sauce was a little plain and I was expecting more of a savory flavor. Because there was such a variety I believe they only put a little of each so it makes the dish seem insubstantial. 

SERVICE: 5/5
The service is really attentive here. The server was friendly and advised of spice levels of the dish (my friends CANNOT handle spicy). Water was always refilled and the food came out hot and fast. Bills came quickly and easily split.

OVERALL: 3/5
I feel like this was a solid but average experience. I'll be back in the future to try other things on the menu!",1,660
263,"First time at Stelvio- wasn't as good as I'd hoped. 

We ordered some fritti mozzarella bites and they were good- but definitely needed a dipping sauce. Or maybe I'm just too used to real mozzeralla sticks with marinara. 
I wouldn't recommend it.

I ordered the pasta special which was a gnocchi with truffle, meat, and porcini. When I first got it I was happy that it came with a lot of truffle, but when I got into it I felt like it had too much. It was definitely too much of a good thing. But it was $28 so I guess they wanted you to feel like you got bang for your buck. 

My bf ordered the tagliatelle ragu and it looked good, but he said the primary flavour was salt. When I tried it- I would have to agree. It was tomato and salt. Not complex at all. 

Also as an aside- I would say the pasta portions are relatively small for the price. You get this dish with a little bowl dent in the middle and your pasta portion is basically the size of a rice bowl. 

I'm happy I tried it but I probably wouldn't come back.",1,263
419,"This restaurant was recently voted as one of the top restaurants in Canada for 2019 - they are actually number 9 on the list. Anyone who knows me, knows how much I love Italian food, so I was really excited to try this place out. 

There were 7 of us at the table, and we discussed the possibility of having the family style meal, which is usually recommended for a party of our size. However, it wasn't easy getting everyone to agree on which dishes to try, so we all ended up ordering our own dishes. A couple of us did share a few bites, so I was able to taste a few more dishes than what I ordered for myself. This is always my favourite way to dine, so you can experience as much of the menu as possible. 

Our server did say that the menu changes with the seasons, which is great since you get the freshest ingredients at their peak. It can also mean that a favourite dish won't always be available, but it's great to try new things. 

I started out with a Negroni cocktail, which was probably the best one I've ever had. Kudos to the bartender, as it was perfection. For a starter, I had the grilled octopus - I was actually hoping it was available as an entrée, as I'd seen photos of it already. Sadly for me, it was just appetizer size. It wasn't as tender as I'd hoped, but it was really flavorful and well-seasoned. For my entrée, I had the branzino, which was served whole. It was difficult to eat because there were so many bones, and it tasted a bit overdone, but still enjoyable. I shared some of my fish with a fellow diner in exchange for a few pieces of his pork chop, which was exceptional. We also shared a side of asparagus as well as the cauliflower, the latter being a bit bland. Their namesake pizza was a big hit, with lots of pistachios and a hint of smoked cheese. 

Four of us ordered desserts, which we shared with each other, and I have to say that the lemon crostata that I ordered was very good, but the Italian custard, called Bonet PIemontese, was the standout for everyone. It's very much like a crème caramel in both appearance and texture. I would definitely order this again. Their coffee was also exceptional, although we did not get it until after we'd all finished our desserts. They really need to improve the timing on that, as most people prefer to have their coffee with their dessert. 

Service was generally quite good, although we did wait quite a while to order our food, and then again had about a 35 minute wait between the appetizers and the entrées. When they brought the bill, they advised us that they were unable to split by seat. This is usually an awkward situation, but it was made even worse by the fact that many of the items on the bill were listed in Italian, so some people were unsure of what they had ordered. It took about 25 minutes just to sort it out. I cannot understand with technology today, why the restaurant cannot split a bill. Their POS system was one of the newest and fanciest ones I've ever seen, so I'm not sure if I believe they can't do it, rather than they choose not to. 

In any case, the food was definitely good enough that I want to return, next time to try the pasta, as not one person in the group ordered any on this visit.",2,419
429,"This place is a small hole in the wall and worth visiting if you crave some good old fashioned tacos rather than the commercial stuff.. portion sizes were good however the flavours were slightly missing for me.. 

I would visit them again if I was in the area, but not necessarily my go to place. Please don't let my review deter you from trying their tacos though, they are still pretty good. 

Flavours can be very subjective and this place is definitely worth a try.. but if you know and love tacos and taco culture as much as me, then you would also know that everyone has their own go to spot.. 

This place has great service, friendly staff and a small seating area if you just want to eat quickly or grab'n'go.",1,429
571,"We ordered and ate way too much at this place! We especially enjoyed General Tao's chicken and the braised short ribs. The dumplings, fried tofu and spring rolls were fine - not spectacular but tasty. The place was cute and our service was excellent. The food came out steaming hot!",2,571
635,Really disappointed. We ordered two dishes and wait like an hour for the fish. Maybe it is because we did not order the right thing. But generally i would not go there again.,0,635
562,"One cold winter afternoon... hungry... cold... wandering mindlessly downtown, I stumbled upon Zhang's Kitchen tucked in the southern side of Elm Street. 

The restaurant itself is not big and I arrived late afternoon. An eerie quietness besets the restaurant. After settling down they started putting on some mandarin pop songs and handed over water and the paper menu.  Service was courteous and efficient. 

Menu wise is extremely limited here, they specialize in yellow braised dishes.  I chose yellow braised chicken with thick noodles; a fine choice for a frigid day. The sauce that was reduced and used to braised the chicken was excellent. The simple flavours created by the cooking wine, ginger, scallion, leek, and other ingredients was delicious and would warm any stomach or heart.  The chicken was equally done well. The chicken was fall off the bones texture (even though their chicken was bone-less) without giving any feeling of it being overcooked. 

What prompted a less than four star when everything sounded great? A few things... first the noodles lacked texture. They were pretty limp and felt like overcooked store bought versions. The mushroom that was added to the dish were the wet variety and the flavour of the mushroom failed to transfer to the sauce. They also added strings of green pepper on top of the dish for aesthetic purposes. This may be a personal thing but I hate when green peppers become fully cooked (while not having been grilled). 

Overall score for Zhang's Kitchen is a solid 3.4. Unless they work on their noodles, you may want to stick with rice.",1,562
595,"This place has the best Asian comfort food I've found in dt yet. Their shrimp wanton noodles are great and I've tried their BBQ chicken too, also delicious. The prices are more uptown prices than downtown, so it's cheaper than most food courts nearby. I try to come here every week or so.

Avoid peak times but if you see a long line, it moves fast. It's also open during the weekend which is great.",2,595
61,"To be completely honest. I was expecting more.
I came in during my lunch while practically salivating on hearing the reviews. I ordered the 3 TACOS: FISH, BARBACOA? AND CARNITAS. fish taco was so bland and had no taste. The beef was pretty good. CARNITAS was decent. Service left more to be desired as the gentleman never asked if I wanted anything else but just requested I pay. Felt rushed.!",0,61
466,"Miku is a stylish and upscale sushi spot near the waterfront great for that special occasion. The place's self-proclaimed specialty is aburi sushi or flame grilled sushi which is indeed the highlight of the sushi menu. They offer a sampler of all the types of aburi sushi, which is 2 pieces each of the three different types of aburi sushi. If you're at all a sushi lover I would highly recommend trying them! The rolls are decent as well, although not particular too remarkable. The sashimi was fresh and presented nicely as well.

you're not a sushi lover, in which case I'd probably recommend going to a different style of Japanese restaurant, but luckily some of their entrees, in particular the sablefish is delicious. 

Overall the restaurant is a nice spot for a fancy sushi occasion in an upscale location. The service was good, and the kitchen staff was actually rather accommodating for dietary restrictions and willing to make changes. However I would say that for the price, even for upscale sushi spots in a city like Toronto, you can probably get a more unique and memorable sushi experience elsewhere, which is what keeps me from giving them one more star.",2,466
200,Had to check this place out after my friends raved about its authenticity. Staff and servers are warm and welcoming. We ordered take out and didn't have to wait too long. I had the chicken tacos which I found to be dry. May have to try the beef ones next time.,1,200
347,"Eataly is located in the Manulife building but it has its own entrance (you have to walk past the Manulife building entrance) to see the Eataly one. If you go in the Manulife entrance, it's like a wild goose chase trying to find Eataly - there's no signage or direction anywhere. 

In general, Eataly is a nice concept for all things italian. The items are a little on the pricier side and you can get most items elsewhere for cheaper. But as my friend said, it's the Eataly experience.

There are a few restaurants (reservations recommended), counter type food stations, desserts, coffee, a bar, and a grocery store with meats, cheese, olives etc. 

I also think a lot of the produce products will end up in the garbage - you can see them starting to turn bad. Not sure if there is a large enough market for those products. 

Overall, it was a nice place to visit but the experience was just okay. It can get crowded with people everywhere just browsing. The food was just okay (we ate at La Pizza and La Pasta, and had a cannoli and a tiramisu after). I feel like I've had better Italian Food elsewhere. 

Come for the hype once and then spend your $$ elsewhere.",1,347
402,"GARGANELLI PASTA ---- 

Beautiful restaurant....cheesy, creamy dreamy pasta, the soft crunch from the cauliflower adds uniqueness to the dish. Really enjoyed and it reasonably priced! They also have a great house-made chilli oil that is a MUST add-on, while having this dish!",2,402
140,"We came here for Father's Day dinner on a slow Sunday. On google, it said the restaurant was closed on Sunday but apparently not ( they are open until 9pm), however when we called for a reservation they said they don't take reservation on Friday, Saturday and Sunday and that they were open till 8 pm. 

Restaurant was almost empty and after eating the food here we understand why. Service was okay, food was so-so! Nothing extraordinary that I can talk about nor I would return for.",1,140
528,"Inattentive staff, over cooked food. Noodle break right apart because it's so overdone.",0,528
